STT,TuNgu,SoTu,PhienAm,IPA,LoaiTu,SoNghia,NghiaTiengViet,GhiChu,MoTa1,MoTa2
216,ꪵꪮ꪿ꪉ ꪢꪷ꫁,1,,,d.,1,loa cái ninh,,: ,
217,ꪵꪮ꫁ꪉ,1,,,d.,1,ảnh,,ꪨ꪿ꪽ ꪵꪮ꫁ꪉ: chụp ảnh,
218,ꪵꪯꪉ,1,,,t.,1," quý, mến, đáng yêu",,: ,
219,ꪵꪯꪉ ꪎꪱꪥ,1,,,t.,1,"anh yêu, em yêu",vh,: ,
220,ꪮꪱꪫ,1,,,d.,1,chú,,ꪎꪮꪉ ꪮꪱꪫ ꪨꪱꪙ: hai chú cháu,
221,ꪮꪱꪫ ꪮꪱ,1,,,d.,1,cô chú,"em rể, em gái",: ,
228,ꪮꪱꪫ ꪹꪄꪥ,1,,,d.,1,chú rể,,: ,
229,ꪮꪱꪫ ꪨ꫁ꪱ,1,,,d.,1,chú út,,ꪮꪱꪫ ꪨ꫁ꪱ ꪮꪱꪫ ꪩꪴꪙ: chú út chú ít,
230,ꪮꪱꪫ ꪩꪺ,1,,,d.,1,chú thím,"em trai, em dâu",: ,
232,ꪮ꪿ꪱꪫ,1,,,đg.,1,nghĩ,,: ,
234,ꪮꪱꪚ,1,,,đg.,1,tắm,,ꪮꪱꪚ ꪙꪾ꫁ ꪕ꪿ꪱ: tắm nước lã,
240,ꪮꪱꪚ,1,,,đg.,2,gội,,ꪮꪱꪚ ꪬꪺ: gọi đầu,
241,ꪮꪱꪚ,1,,,đg.,3,mạ,,ꪮꪱꪚ ꪙꪾ꫁ ꪁꪾ: mạ vàng,
242,ꪮ꪿ꪱꪫ,2,,,tr.,1,hơi,,ꪬꪱꪚ ꪮ꪿ꪱꪚ ꪘꪰꪀ: gánh hơi nặng,
243,ꪮ꪿ꪱꪫ,2,,,tr.,2,khí,,ꪮ꪿ꪱꪫ ꪹꪁꪸꪣ: khí mặn,
